straw, date/time, co2, worker, chamber, leakRate, errorstraw, date/time, co2, worker, chamber, leakrate, error, comments, , 
bkg2_2_,  3/30/2018 17:02,  co2,  caleb,  chamber2, 2.75e-07, 2.29e-06,  ,  , 
bkg3_2_,  3/30/2018 17:02,  co2,  caleb,  chamber3, -1.24e-06, 2.29e-06,  ,  , 
bkg4_2_,  3/30/2018 17:02,  co2,  caleb,  chamber4, -4.43e-07, 2.21e-06,  ,  , 
bkg9_2_,  3/30/2018 17:02,  co2,  caleb,  chamber9, 6.62e-07, 2.21e-06,  ,  , 
bkg8_2_,  3/30/2018 17:02,  co2,  caleb,  chamber8, 1.27e-06, 2.26e-06,  ,  , 
bkg7_2_,  3/30/2018 17:02,  co2,  caleb,  chamber7, -5.92e-07, 2.30e-06,  ,  , 
bkg6_2_,  3/30/2018 17:02,  co2,  caleb,  chamber6, -6.93e-07, 2.37e-06,  ,  , 
bkg5_2_,  3/30/2018 17:02,  co2,  caleb,  chamber5, -7.80e-07, 2.27e-06,  ,  , 
bkg10_2,  3/30/2018 17:02,  co2,  caleb,  chamber10, -3.94e-07, 2.45e-06,  ,  , 
bkg11_2,  3/30/2018 17:02,  co2,  caleb,  chamber11, -7.21e-07, 2.53e-06,  ,  , 
bkg12_2,  3/30/2018 17:02,  co2,  caleb,  chamber12, -1.75e-06, 2.71e-06,  ,  , 
bkg13_2,  3/30/2018 17:02,  co2,  caleb,  chamber13, 1.37e-06, 2.79e-06,  ,  , 
bkg14_2,  3/30/2018 17:02,  co2,  caleb,  chamber14, -5.68e-09, 2.40e-06,  ,  , 
bkg19_2,  3/30/2018 17:02,  co2,  caleb,  chamber19, 2.12e-06, 2.45e-06,  ,  , 
bkg18_2,  3/30/2018 17:02,  co2,  caleb,  chamber18, 9.70e-07, 3.06e-06,  ,  , 
bkg17_2,  3/30/2018 17:02,  co2,  caleb,  chamber17, 1.76e-06, 3.20e-06,  ,  , 
bkg16_2,  3/30/2018 17:02,  co2,  caleb,  chamber16, -2.06e-06, 3.36e-06,  ,  , 
bkg15_2,  3/30/2018 17:02,  co2,  caleb,  chamber15, -1.62e-06, 2.45e-06,  ,  , 
bkg20_2,  3/30/2018 17:02,  co2,  caleb,  chamber20, -9.16e-07, 2.61e-06,  ,  , 
bkg21_2,  3/30/2018 17:02,  co2,  caleb,  chamber21, -3.87e-07, 2.61e-06,  ,  , 
bkg22_2,  3/30/2018 17:02,  co2,  caleb,  chamber22, -1.66e-07, 2.57e-06,  ,  , 
bkg23_2,  3/30/2018 17:02,  co2,  caleb,  chamber23, -2.84e-07, 2.64e-06,  ,  , 
bkg45_2,  3/30/2018 17:02,  co2,  caleb,  chamber45, -2.66e-06, 2.37e-06,  ,  , 
bkg47_2,  3/30/2018 17:02,  co2,  caleb,  chamber47, 2.24e-06, 2.35e-06,  ,  , 
bkg48_2,  3/30/2018 17:02,  co2,  caleb,  chamber48, 1.24e-06, 2.15e-06,  ,  , 
bkg49_2,  3/30/2018 17:02,  co2,  caleb,  chamber49, 3.07e-06, 2.24e-06,  ,  , 
bkg24_2,  3/30/2018 17:02,  co2,  caleb,  chamber24, -5.67e-07, 2.48e-06,  ,  , 
bkg46_2,  3/30/2018 17:02,  co2,  caleb,  chamber46, 1.35e-06, 2.10e-06,  ,  , 
bkg41_2,  3/30/2018 17:02,  co2,  caleb,  chamber41, 1.67e-08, 2.25e-06,  ,  , 
bkg42_2,  3/30/2018 17:02,  co2,  caleb,  chamber42, 8.64e-07, 2.25e-06,  ,  , 
bkg44_2,  3/30/2018 17:02,  co2,  caleb,  chamber44, -1.58e-06, 2.17e-06,  ,  , 
bkg37_4,  3/30/2018 17:02,  co2,  caleb,  chamber37, 2.81e-06, 2.07e-06,  ,  , 
bkg36_4,  3/30/2018 17:02,  co2,  caleb,  chamber36, 1.79e-06, 2.21e-06,  ,  , 
bkg35_3,  3/30/2018 17:02,  co2,  caleb,  chamber35, 2.41e-06, 2.32e-06,  ,  , 
bkg43_2,  3/30/2018 17:02,  co2,  caleb,  chamber43, 1.00e-06, 2.28e-06,  ,  , 
bkg33_3,  3/30/2018 17:02,  co2,  caleb,  chamber33, 5.51e-06, 2.28e-06,  ,  , 
bkg34_3,  3/30/2018 17:02,  co2,  caleb,  chamber34, 2.36e-06, 2.29e-06,  ,  , 
bkg29_2,  3/30/2018 17:02,  co2,  caleb,  chamber29, 1.80e-06, 2.67e-06,  ,  , 
bkg26_2,  3/30/2018 17:02,  co2,  caleb,  chamber26, -9.73e-07, 2.11e-06,  ,  , 
err5_06,  3/30/2018 17:53,  co2,  caleb,  chamber40, 0.000256225, 8.36e-06,  ,  , 
err4_06,  3/30/2018 17:53,  co2,  caleb,  chamber39, 0.000232894, 8.96e-06,  ,  , 
err4_06,  3/31/2018 12:07,  co2,  jacob,  chamber40, 0.00021114, 2.40e-06,  ,  , 
err5_06,  3/31/2018 12:07,  co2,  jacob,  chamber41, 0.000232858, 3.87e-06,  ,  , 
bkg26_3,  3/31/2018 15:51,  co2,  jacob,  chamber26, 4.01e-06, 2.21e-07,  ,  , 
err5_07,  3/31/2018 23:41,  co2,  jacob,  chamber25, 0.00025355, 1.46e-05,  ,  , 
err4_07,  3/31/2018 23:41,  co2,  jacob,  chamber49, 0.000195424, 5.16e-06,  ,  , 
err3_04,  4/2/2018 12:24,  co2,  caleb,  chamber25, 0.000102455, 5.69e-06,  ,  , 
err1_04,  4/2/2018 12:24,  co2,  caleb,  chamber27, 0.000119205, 5.12e-06,  ,  , 
err2_04,  4/2/2018 12:24,  co2,  caleb,  chamber28, 5.76e-05, 2.37e-06,  ,  , 
testing,  4/2/2018 15:23,  co2,  jacob,  chamber45, -5.75e-05, 0.000131988,  ,  , 
bkg26_4,  4/2/2018 15:23,  co2,  jacob,  chamber26, 4.81e-07, 2.52e-08,  ,  , 
testing,  4/2/2018 17:38,  co2,  unknown worker,  chamber45, -1.17e-06, 2.89e-06,  ,  , 
err4_07,  4/3/2018 9:40,  co2,  caleb,  chamber30, -0.019608572, 0.001258997,  ,  , 
err5_07,  4/3/2018 9:40,  co2,  caleb,  chamber31, 0, 0,  ,  , 
gtbent0,  4/3/2018 9:40,  co2,  caleb,  chamber1, -0.001731908, 0.000137169,  ,  , 
err3_04,  4/3/2018 11:39,  co2,  caleb,  chamber25, 8.79e-05, 5.47e-06,  ,  , 
err1_04,  4/3/2018 11:39,  co2,  caleb,  chamber27, 0.000102155, 5.00e-06,  ,  , 
err2_04,  4/3/2018 11:39,  co2,  caleb,  chamber28, 5.61e-05, 3.19e-06,  ,  , 
err4_07,  4/3/2018 16:50,  co2,  jacob,  chamber30, 0, 0,  ,  , 
err5_07,  4/4/2018 7:53,  co2,  jacob,  chamber31, 0.000124758, 2.40e-06,  ,  , 
gtbent1,  4/4/2018 9:11,  co2,  unknown worker,  chamber12, -3.58e-18, 0.000399841,  ,  , 
err4_07,  4/4/2018 9:13,  co2,  unknown worker,  chamber31, 0.000133296, 6.42e-06,  ,  , 
err5_07,  4/4/2018 9:13,  co2,  unknown worker,  chamber32, 0.000141071, 9.05e-06,  ,  , 
err3_04,  4/4/2018 9:16,  co2,  unknown worker,  chamber25, 7.27e-05, 8.74e-06,  ,  , 
err1_04,  4/4/2018 9:16,  co2,  unknown worker,  chamber27, 6.51e-05, 7.55e-06,  ,  , 
err2_04,  4/4/2018 9:16,  co2,  unknown worker,  chamber28, 4.46e-05, 7.20e-06,  ,  , 
test30_,  4/4/2018 11:59,  co2,  ambrose,  chamber30, 0, 0,  ,  , 
test31_,  4/4/2018 11:59,  co2,  ambrose,  chamber31, 0, 0,  ,  , 
err5_08,  4/4/2018 17:30,  co2,  ambrose,  chamber31, 0.0001277, 2.51e-06,  ,  , 
err4_08,  4/4/2018 17:30,  co2,  ambrose,  chamber30, 0.000117572, 7.05e-06,  ,  , 
15355_c,  4/5/2018 8:47,  co2,  ambrose,  chamber30, 0, 0,  ,  , 
err3_04,  4/5/2018 9:35,  co2,  caleb,  chamber25, 8.71e-06, 0.000100041,  ,  , 
gtbent0,  4/5/2018 9:35,  co2,  caleb,  chamber3, 0, 0,  ,  , 
err4_08,  4/5/2018 10:18,  co2,  caleb,  chamber30, 0.000132044, 8.82e-06,  ,  , 
err5_08,  4/5/2018 10:18,  co2,  caleb,  chamber31, 0.000139474, 5.15e-06,  ,  , 
err1_04,  4/5/2018 10:51,  co2,  caleb,  chamber27, 7.89e-05, 4.74e-06,  ,  , 
err2_04,  4/5/2018 10:51,  co2,  caleb,  chamber28, 4.00e-05, 3.73e-06,  ,  , 
gtbent1,  4/5/2018 11:00,  co2,  caleb,  chamber35, 0.00017616, 6.90e-06,  ,  , 
gtbent2,  4/5/2018 11:01,  co2,  caleb,  chamber23, 0.007973446, 0.000170947,  ,  , 
15_cham,  4/6/2018 9:51,  co2,  caleb,  chamber15, 0, 0,  ,  , 
bent13_,  4/6/2018 9:56,  co2,  caleb,  chamber38, 0, 0,  ,  , 
testr3_,  4/6/2018 15:37,  co2,  caleb,  chamber10, 0, 0,  ,  , 
err5_08,  4/9/2018 9:32,  co2,  caleb,  chamber31, 0.000115587, 9.66e-05,  ,  , 
gtbent0,  4/9/2018 10:06,  co2,  caleb,  chamber9, 0.000149698, 4.52e-05,  ,  , 
gtbent0,  4/9/2018 10:08,  co2,  caleb,  chamber5, 0, 0,  ,  , 
gtbent2,  4/9/2018 10:23,  co2,  caleb,  chamber23, 0.007860159, 0.000259896,  ,  , 
err4_08,  4/9/2018 10:34,  co2,  caleb,  chamber30, 0.000123992, 8.70e-06,  ,  , 
gtbent1,  4/9/2018 10:58,  co2,  caleb,  chamber12, 0.000170066, 9.46e-06,  ,  , 
test040,  4/9/2018 15:48,  co2,  caleb,  chamber30, 0, 0,  ,  , 
err3_04,  4/10/2018 9:18,  co2,  caleb,  chamber25, 0.000301609, 1.64e-05,  ,  , 
err1_04,  4/10/2018 9:18,  co2,  caleb,  chamber27, 0.000257501, 1.07e-05,  ,  , 
err2_04,  4/10/2018 9:18,  co2,  caleb,  chamber28, 0.00019474, 6.94e-06,  ,  , 
err3_04,  4/11/2018 9:50,  co2,  caleb,  chamber25, 7.93e-05, 9.30e-06,  ,  , 
err1_04,  4/11/2018 9:50,  co2,  caleb,  chamber27, 8.37e-05, 9.16e-06,  ,  , 
err2_04,  4/11/2018 9:50,  co2,  caleb,  chamber28, 0.002648915, 9.72e-05,  ,  , 
gtbent0,  4/11/2018 9:51,  co2,  caleb,  chamber9, 0.000140384, 8.96e-06,  ,  , 
gtbent1,  4/11/2018 9:51,  co2,  caleb,  chamber18, 0.000119854, 8.52e-06,  ,  , 
err5_08,  4/11/2018 9:52,  co2,  caleb,  chamber2, 0.000230442, 8.05e-06,  ,  , 
err4_08,  4/11/2018 10:05,  co2,  caleb,  chamber1, 0.000198289, 1.18e-05,  ,  , 
err4_09,  4/12/2018 9:04,  co2,  unknown worker,  chamber3, 0.000168819, 2.92e-06,  ,  , 
err5_09,  4/12/2018 9:04,  co2,  unknown worker,  chamber4, 0.000190252, 7.02e-06,  ,  , 
err3_05,  4/12/2018 10:34,  co2,  caleb,  chamber25, 8.54e-05, 6.54e-06,  ,  , 
err1_05,  4/12/2018 10:34,  co2,  caleb,  chamber27, 8.86e-05, 5.93e-06,  ,  , 
err2_05,  4/12/2018 10:35,  co2,  caleb,  chamber28, 9.00e-05, 1.73e-05,  ,  , 
retest0,  4/13/2018 11:02,  co2,  caleb,  chamber0, 4.61e-05, 6.37e-06,  ,  , 
err5_09,  4/16/2018 9:58,  co2,  caleb,  chamber9, 0.000166852, 1.45e-05,  ,  , 
retest0,  4/16/2018 10:16,  co2,  caleb,  chamber2, 0, 0,  ,  , 
err4_09,  4/16/2018 10:16,  co2,  caleb,  chamber8, 0.00016682, 9.43e-06,  ,  , 
1in_san,  4/16/2018 16:31,  co2,  caleb,  chamber25, 0.000226214, 1.23e-05,  ,  , 
sm_1in_,  4/16/2018 16:31,  co2,  caleb,  chamber27, 0.000170106, 7.10e-06,  ,  , 
err3_05,  4/17/2018 10:29,  co2,  caleb,  chamber25, 7.46e-05, 7.11e-06,  ,  , 
err1_05,  4/17/2018 10:29,  co2,  caleb,  chamber27, 7.50e-05, 6.34e-06,  ,  , 
err2_05,  4/17/2018 10:29,  co2,  caleb,  chamber28, 5.44e-05, 5.62e-06,  ,  , 
err1_05,  4/18/2018 9:11,  co2,  unknown worker,  chamber27, 0, 0,  ,  , 
err2_05,  4/18/2018 9:12,  co2,  unknown worker,  chamber28, 0, 0,  ,  , 
err3_05,  4/18/2018 15:33,  co2,  unknown worker,  chamber25, 0.000152602, 8.28e-06,  ,  , 
err4_09,  4/19/2018 9:05,  co2,  unknown worker,  chamber12, 0.000123507, 1.48e-06,  ,  , 
err5_09,  4/19/2018 9:05,  co2,  unknown worker,  chamber13, 0.000123719, 8.64e-07,  ,  , 
err4_10,  4/19/2018 10:10,  co2,  caleb,  chamber13, 0.000161071, 7.21e-06,  ,  , 
err5_10,  4/19/2018 10:10,  co2,  caleb,  chamber14, 0.000151045, 6.66e-06,  ,  , 
err3_05,  4/19/2018 10:58,  co2,  unknown worker,  chamber25, 7.56e-05, 9.25e-06,  ,  , 
err1_05,  4/19/2018 10:58,  co2,  unknown worker,  chamber27, 8.29e-05, 7.94e-06,  ,  , 
err2_05,  4/19/2018 10:58,  co2,  unknown worker,  chamber28, 5.97e-05, 7.79e-06,  ,  , 
test_ch,  4/19/2018 10:59,  co2,  unknown worker,  chamber16, 0, 0,  ,  , 
err5_10,  4/19/2018 10:59,  co2,  unknown worker,  chamber15, -4.79e-07, 2.37e-05,  ,  , 
retest0,  4/19/2018 11:00,  co2,  unknown worker,  chamber0, 0, 0,  ,  , 
err4_10,  4/19/2018 11:45,  co2,  unknown worker,  chamber14, 0.000139139, 5.36e-06,  ,  , 
err5_10,  4/20/2018 9:30,  co2,  caleb,  chamber17, 0.000164297, 5.38e-05,  ,  , 
retest0,  4/20/2018 9:52,  co2,  caleb,  chamber1, 0, 0,  ,  , 
err4_10,  4/20/2018 10:04,  co2,  caleb,  chamber16, 0.000161546, 8.92e-06,  ,  , 
err2_05,  4/20/2018 10:19,  co2,  caleb,  chamber28, 6.68e-05, 9.46e-06,  ,  , 
err1_05,  4/20/2018 10:21,  co2,  caleb,  chamber27, 8.33e-05, 9.62e-06,  ,  , 
err3_05,  4/20/2018 10:24,  co2,  caleb,  chamber25, 7.86e-05, 9.47e-06,  ,  , 
example,  4/25/2018 10:09,  co2,  student,  chamber20, 0, 0,  ,  , 
err4_11,  4/25/2018 10:10,  co2,  student,  chamber23, 0.000111252, 9.05e-06,  ,  , 
err5_11,  4/25/2018 10:10,  co2,  student,  chamber24, 0.000118705, 9.07e-06,  ,  , 
_chambe,  4/25/2018 10:55,  co2,  student,  chamber15, 0, 0,  ,  , 
retest2,  4/30/2018 10:32,  co2,  caleb,  chamber29, 0.000514069, 1.41e-05,  ,  , 
err2_06,  4/30/2018 10:33,  co2,  caleb,  chamber28, 4.66e-05, 4.40e-06,  ,  , 
stxxxxx,  5/1/2018 10:32,  co2,  caleb,  chamber29, 0.00015137, 6.19e-06,  ,  , 
err2_06,  5/1/2018 10:32,  co2,  caleb,  chamber28, 6.11e-05, 5.73e-06,  ,  , 
err1_05,  5/1/2018 10:32,  co2,  caleb,  chamber27, 6.64e-05, 6.17e-06,  ,  , 
err3_06,  5/1/2018 10:32,  co2,  caleb,  chamber25, 8.91e-05, 7.74e-06,  ,  , 
err2_06,  5/2/2018 8:50,  co2,  caleb,  chamber28, 0.008185545, 0.000797234,  ,  , 
test_ch,  5/2/2018 9:43,  co2,  unknown worker,  chamber27, -0.000174884, 0.001179458,  ,  , 
err1_06,  5/3/2018 9:19,  co2,  caleb,  chamber27, 0, 0,  ,  , 
err3_06,  5/3/2018 11:33,  co2,  caleb,  chamber25, 9.83e-05, 5.69e-06,  ,  , 
err2_06,  5/3/2018 11:33,  co2,  caleb,  chamber28, 5.49e-05, 2.56e-06,  ,  , 
err3_06,  5/4/2018 10:22,  co2,  caleb,  chamber25, 8.46e-05, 1.20e-05,  ,  , 
err2_06,  5/4/2018 10:22,  co2,  caleb,  chamber28, 7.75e-05, 8.68e-06,  ,  , 
err1_06,  5/4/2018 10:30,  co2,  caleb,  chamber27, -5.91e-05, 9.61e-06,  ,  , 
err3_06,  5/10/2018 11:59,  co2,  caleb,  chamber25, 8.96e-05, 5.10e-06,  ,  , 
err1_06,  5/10/2018 11:59,  co2,  caleb,  chamber27, 7.98e-05, 3.68e-06,  ,  , 
err2_06,  5/10/2018 11:59,  co2,  caleb,  chamber28, 4.85e-05, 2.28e-06,  ,  , 
st01260,  6/1/2018 12:35,  co2,  ambrose,  chamber25, 5.55e-05, 3.97e-06,  ,  , 
st01262,  6/1/2018 12:37,  co2,  ambrose,  chamber26, 7.10e-05, 3.14e-06,  ,  , 
st01263,  6/1/2018 12:38,  co2,  ambrose,  chamber27, 6.10e-05, 3.79e-06,  ,  , 
st01264,  6/1/2018 12:39,  co2,  ambrose,  chamber28, 5.73e-05, 3.46e-06,  ,  , 
